id,label
1,0.999
2,0.999
3,0.999
4,0.999
5,0.0777
6,0.001
7,0.001
8,0.0249
9,0.001
10,0.001
11,0.001
12,0.999
13,0.0265
14,0.001
15,0.001
16,0.001
17,0.999
18,0.999
19,0.001
20,0.0015
21,0.999
22,0.0039
23,0.194
24,0.965
25,0.001
26,0.9744
27,0.999
28,0.001
29,0.0148
30,0.9976
31,0.999
32,0.6133
33,0.999
34,0.001
35,0.001
36,0.001
37,0.001
38,0.001
39,0.9989
40,0.001
41,0.9929
42,0.999
43,0.999
44,0.999
45,0.001
46,0.957
47,0.001
48,0.999
49,0.999
50,0.001
51,0.001
52,0.001
53,0.4019
54,0.001
55,0.001
56,0.9333
57,0.999
58,0.001
59,0.991
60,0.001
61,0.001
62,0.999
63,0.001
64,0.001
65,0.999
66,0.999
67,0.999
68,0.001
69,0.9841
70,0.999
71,0.999
72,0.999
73,0.999
74,0.999
75,0.001
76,0.999
77,0.999
78,0.9775
79,0.999
80,0.001
81,0.0026
82,0.001
83,0.999
84,0.001
85,0.999
86,0.8892
87,0.999
88,0.999
89,0.001
90,0.3348
91,0.045
92,0.001
93,0.001
94,0.999
95,0.999
96,0.001
97,0.999
98,0.9
99,0.001
100,0.001
101,0.001
102,0.999
103,0.001
104,0.001
105,0.999
106,0.5539
107,0.16
108,0.001
109,0.8549
110,0.999
111,0.999
112,0.999
113,0.999
114,0.001
115,0.001
116,0.001
117,0.1182
118,0.999
119,0.999
120,0.6757
121,0.115
122,0.001
123,0.203
124,0.0715
125,0.0091
126,0.9311
127,0.999
128,0.001
129,0.001
130,0.8952
131,0.999
132,0.9814
133,0.6859
134,0.001
135,0.001
136,0.001
137,0.999
138,0.4622
139,0.001
140,0.0021
141,0.001
142,0.9881
143,0.999
144,0.3941
145,0.0337
146,0.999
147,0.9665
148,0.4654
149,0.001
150,0.0894
151,0.9889
152,0.001
153,0.001
154,0.001
155,0.5962
156,0.001
157,0.001
158,0.9969
159,0.999
160,0.999
161,0.001
162,0.001
163,0.0019
164,0.999
165,0.0015
166,0.0038
167,0.999
168,0.0029
169,0.001
170,0.001
171,0.0512
172,0.999
173,0.6945
174,0.0548
175,0.999
176,0.999
177,0.999
178,0.999
179,0.7951
180,0.001
181,0.9963
182,0.999
183,0.001
184,0.1168
185,0.001
186,0.001
187,0.001
188,0.001
189,0.1471
190,0.999
191,0.001
192,0.001
193,0.0131
194,0.0011
195,0.9984
196,0.999
197,0.985
198,0.001
199,0.999
200,0.7122
201,0.9553
202,0.001
203,0.999
204,0.999
205,0.001
206,0.001
207,0.986
208,0.001
209,0.001
210,0.001
211,0.999
212,0.999
213,0.001
214,0.999
215,0.999
216,0.999
217,0.999
218,0.001
219,0.9974
220,0.999
221,0.001
222,0.9454
223,0.999
224,0.3137
225,0.9912
226,0.998
227,0.999
228,0.001
229,0.999
230,0.001
231,0.999
232,0.1907
233,0.001
234,0.0046
235,0.999
236,0.2795
237,0.001
238,0.999
239,0.001
240,0.999
241,0.999
242,0.999
243,0.001
244,0.999
245,0.999
246,0.0388
247,0.999
248,0.001
249,0.1388
250,0.999
251,0.999
252,0.001
253,0.999
254,0.001
255,0.6841
256,0.001
257,0.1041
258,0.999
259,0.001
260,0.001
261,0.001
262,0.9947
263,0.001
264,0.001
265,0.8376
266,0.001
267,0.001
268,0.001
269,0.999
270,0.999
271,0.999
272,0.0038
273,0.999
274,0.001
275,0.0025
276,0.999
277,0.999
278,0.0399
279,0.001
280,0.999
281,0.9312
282,0.3973
283,0.001
284,0.999
285,0.001
286,0.999
287,0.001
288,0.001
289,0.999
290,0.001
291,0.0237
292,0.585
293,0.999
294,0.0113
295,0.001
296,0.999
297,0.999
298,0.999
299,0.999
300,0.1172
301,0.001
302,0.001
303,0.001
304,0.001
305,0.001
306,0.999
307,0.999
308,0.001
309,0.1204
310,0.095
311,0.001
312,0.001
313,0.001
314,0.0012
315,0.999
316,0.5389
317,0.999
318,0.0016
319,0.999
320,0.001
321,0.001
322,0.999
323,0.001
324,0.001
325,0.999
326,0.8159
327,0.9749
328,0.999
329,0.001
330,0.2974
331,0.863
332,0.9621
333,0.999
334,0.001
335,0.001
336,0.001
337,0.999
338,0.001
339,0.001
340,0.0122
341,0.1602
342,0.001
343,0.0057
344,0.001
345,0.0093
346,0.999
347,0.0063
348,0.999
349,0.001
350,0.999
351,0.001
352,0.9984
353,0.999
354,0.999
355,0.999
356,0.8806
357,0.0024
358,0.6289
359,0.001
360,0.001
361,0.9906
362,0.0479
363,0.999
364,0.001
365,0.999
366,0.9886
367,0.999
368,0.999
369,0.999
370,0.999
371,0.9969
372,0.001
373,0.999
374,0.001
375,0.999
376,0.001
377,0.9849
378,0.001
379,0.999
380,0.9968
381,0.999
382,0.1123
383,0.999
384,0.999
385,0.897
386,0.001
387,0.001
388,0.001
389,0.8543
390,0.0036
391,0.0111
392,0.9491
393,0.025
394,0.999
395,0.999
396,0.0036
397,0.999
398,0.0013
399,0.999
400,0.9977
401,0.999
402,0.001
403,0.999
404,0.001
405,0.999
406,0.9987
407,0.001
408,0.001
409,0.4429
410,0.001
411,0.999
412,0.4586
413,0.9929
414,0.001
415,0.999
416,0.001
417,0.9974
418,0.999
419,0.46
420,0.999
421,0.999
422,0.999
423,0.999
424,0.999
425,0.999
426,0.001
427,0.8752
428,0.0099
429,0.999
430,0.719
431,0.999
432,0.001
433,0.999
434,0.5722
435,0.999
436,0.6834
437,0.0344
438,0.999
439,0.999
440,0.4432
441,0.001
442,0.001
443,0.999
444,0.0041
445,0.001
446,0.999
447,0.001
448,0.001
449,0.001
450,0.999
451,0.001
452,0.999
453,0.999
454,0.001
455,0.001
456,0.001
457,0.999
458,0.001
459,0.999
460,0.9136
461,0.0896
462,0.001
463,0.999
464,0.001
465,0.001
466,0.9982
467,0.999
468,0.001
469,0.999
470,0.999
471,0.001
472,0.9979
473,0.999
474,0.999
475,0.999
476,0.0032
477,0.0509
478,0.001
479,0.999
480,0.8812
481,0.999
482,0.999
483,0.999
484,0.001
485,0.999
486,0.999
487,0.001
488,0.001
489,0.5034
490,0.999
491,0.9978
492,0.001
493,0.001
494,0.001
495,0.999
496,0.999
497,0.001
498,0.999
499,0.999
500,0.001
501,0.8649
502,0.001
503,0.999
504,0.001
505,0.001
506,0.001
507,0.999
508,0.999
509,0.999
510,0.999
511,0.999
512,0.001
513,0.999
514,0.001
515,0.999
516,0.9647
517,0.999
518,0.8489
519,0.001
520,0.001
521,0.999
522,0.001
523,0.999
524,0.101
525,0.0406
526,0.001
527,0.7026
528,0.999
529,0.001
530,0.001
531,0.999
532,0.2654
533,0.001
534,0.9981
535,0.0047
536,0.999
537,0.001
538,0.001
539,0.001
540,0.999
541,0.001
542,0.999
543,0.001
544,0.001
545,0.9703
546,0.2545
547,0.999
548,0.999
549,0.001
550,0.0037
551,0.0174
552,0.999
553,0.5453
554,0.001
555,0.999
556,0.001
557,0.9849
558,0.999
559,0.9974
560,0.999
561,0.001
562,0.001
563,0.0077
564,0.001
565,0.999
566,0.001
567,0.0099
568,0.999
569,0.999
570,0.001
571,0.4523
572,0.001
573,0.0175
574,0.999
575,0.001
576,0.0628
577,0.0239
578,0.001
579,0.001
580,0.001
581,0.9984
582,0.999
583,0.001
584,0.001
585,0.999
586,0.001
587,0.001
588,0.7885
589,0.001
590,0.999
591,0.999
592,0.001
593,0.999
594,0.999
595,0.999
596,0.055
597,0.999
598,0.3467
599,0.001
600,0.001
601,0.9947
602,0.0245
603,0.001
604,0.1466
605,0.001
606,0.5357
607,0.999
608,0.9465
609,0.001
610,0.9952
611,0.0311
612,0.999
613,0.001
614,0.001
615,0.001
616,0.977
617,0.999
618,0.0015
619,0.63
620,0.9986
621,0.001
622,0.001
623,0.001
624,0.1361
625,0.001
626,0.9979
627,0.001
628,0.001
629,0.9818
630,0.999
631,0.999
632,0.999
633,0.999
634,0.001
635,0.0038
636,0.999
637,0.999
638,0.001
639,0.001
640,0.001
641,0.999
642,0.001
643,0.999
644,0.999
645,0.001
646,0.001
647,0.0199
648,0.001
649,0.001
650,0.999
651,0.999
652,0.4928
653,0.0013
654,0.999
655,0.999
656,0.8181
657,0.999
658,0.999
659,0.001
660,0.001
661,0.999
662,0.001
663,0.001
664,0.001
665,0.001
666,0.001
667,0.999
668,0.9443
669,0.999
670,0.999
671,0.001
672,0.001
673,0.2088
674,0.001
675,0.6514
676,0.999
677,0.0048
678,0.0202
679,0.999
680,0.001
681,0.999
682,0.001
683,0.001
684,0.888
685,0.999
686,0.999
687,0.999
688,0.999
689,0.001
690,0.3031
691,0.999
692,0.0048
693,0.9987
694,0.9982
695,0.999
696,0.001
697,0.0019
698,0.001
699,0.001
700,0.9973
701,0.3853
702,0.001
703,0.001
704,0.001
705,0.999
706,0.999
707,0.999
708,0.999
709,0.999
710,0.9511
711,0.102
712,0.4357
713,0.999
714,0.001
715,0.999
716,0.001
717,0.0146
718,0.999
719,0.4278
720,0.001
721,0.0031
722,0.001
723,0.999
724,0.9768
725,0.999
726,0.001
727,0.9904
728,0.001
729,0.001
730,0.999
731,0.999
732,0.9989
733,0.001
734,0.001
735,0.7921
736,0.9807
737,0.001
738,0.999
739,0.9929
740,0.001
741,0.1815
742,0.999
743,0.999
744,0.183
745,0.999
746,0.2507
747,0.999
748,0.001
749,0.001
750,0.8473
751,0.001
752,0.999
753,0.001
754,0.001
755,0.001
756,0.1234
757,0.999
758,0.001
759,0.001
760,0.999
761,0.999
762,0.167
763,0.999
764,0.007
765,0.999
766,0.999
767,0.9975
768,0.999
769,0.999
770,0.6608
771,0.001
772,0.001
773,0.999
774,0.001
775,0.0293
776,0.001
777,0.999
778,0.001
779,0.999
780,0.999
781,0.2883
782,0.3016
783,0.999
784,0.999
785,0.001
786,0.999
787,0.001
788,0.001
789,0.999
790,0.999
791,0.999
792,0.999
793,0.999
794,0.9404
795,0.001
796,0.9953
797,0.999
798,0.999
799,0.001
800,0.999
801,0.4538
802,0.001
803,0.001
804,0.0029
805,0.9953
806,0.999
807,0.9176
808,0.9816
809,0.6898
810,0.999
811,0.001
812,0.9925
813,0.4684
814,0.999
815,0.999
816,0.999
817,0.503
818,0.9982
819,0.999
820,0.001
821,0.999
822,0.005
823,0.999
824,0.001
825,0.001
826,0.999
827,0.001
828,0.999
829,0.999
830,0.001
831,0.001
832,0.999
833,0.999
834,0.999
835,0.999
836,0.001
837,0.999
838,0.001
839,0.9989
840,0.019
841,0.001
842,0.999
843,0.0011
844,0.9008
845,0.999
846,0.999
847,0.001
848,0.999
849,0.001
850,0.001
851,0.999
852,0.001
853,0.999
854,0.999
855,0.001
856,0.001
857,0.7841
858,0.999
859,0.0084
860,0.006
861,0.999
862,0.999
863,0.583
864,0.999
865,0.999
866,0.9935
867,0.0062
868,0.001
869,0.001
870,0.999
871,0.999
872,0.001
873,0.999
874,0.999
875,0.001
876,0.999
877,0.001
878,0.3929
879,0.1005
880,0.001
881,0.001
882,0.999
883,0.999
884,0.9168
885,0.999
886,0.0027
887,0.999
888,0.001
889,0.001
890,0.996
891,0.9223
892,0.999
893,0.999
894,0.001
895,0.2481
896,0.0106
897,0.001
898,0.001
899,0.999
900,0.999
901,0.999
902,0.0013
903,0.999
904,0.999
905,0.001
906,0.001
907,0.999
908,0.991
909,0.155
910,0.0024
911,0.001
912,0.999
913,0.9391
914,0.001
915,0.9253
916,0.932
917,0.001
918,0.9276
919,0.001
920,0.0012
921,0.001
922,0.999
923,0.999
924,0.001
925,0.001
926,0.001
927,0.001
928,0.001
929,0.14
930,0.999
931,0.001
932,0.0325
933,0.001
934,0.1382
935,0.999
936,0.0519
937,0.001
938,0.001
939,0.9881
940,0.999
941,0.001
942,0.5672
943,0.377
944,0.999
945,0.9979
946,0.999
947,0.0034
948,0.001
949,0.999
950,0.999
951,0.001
952,0.001
953,0.999
954,0.284
955,0.999
956,0.999
957,0.999
958,0.999
959,0.001
960,0.999
961,0.001
962,0.999
963,0.999
964,0.0018
965,0.001
966,0.999
967,0.001
968,0.2198
969,0.999
970,0.999
971,0.0812
972,0.9963
973,0.0752
974,0.8766
975,0.001
976,0.001
977,0.0217
978,0.001
979,0.999
980,0.999
981,0.999
982,0.7623
983,0.999
984,0.9596
985,0.0013
986,0.001
987,0.001
988,0.5094
989,0.999
990,0.001
991,0.0121
992,0.9979
993,0.999
994,0.001
995,0.9976
996,0.001
997,0.999
998,0.999
999,0.1049
1000,0.951
1001,0.001
1002,0.999
1003,0.999
1004,0.999
1005,0.001
1006,0.999
1007,0.999
1008,0.001
1009,0.999
1010,0.999
1011,0.001
1012,0.999
1013,0.4205
1014,0.999
1015,0.001
1016,0.4892
1017,0.0054
1018,0.9945
1019,0.999
1020,0.001
1021,0.0057
1022,0.001
1023,0.001
1024,0.001
1025,0.001
1026,0.1233
1027,0.001
1028,0.001
1029,0.001
1030,0.001
1031,0.001
1032,0.9816
1033,0.9969
1034,0.999
1035,0.0527
1036,0.8497
1037,0.9251
1038,0.9985
1039,0.001
1040,0.999
1041,0.001
1042,0.9752
1043,0.001
1044,0.9938
1045,0.001
1046,0.001
1047,0.056
1048,0.999
1049,0.001
1050,0.001
1051,0.001
1052,0.999
1053,0.999
1054,0.999
1055,0.2327
1056,0.999
1057,0.999
1058,0.999
1059,0.999
1060,0.0023
1061,0.001
1062,0.001
1063,0.001
1064,0.0094
1065,0.001
1066,0.999
1067,0.999
1068,0.999
1069,0.001
1070,0.999
1071,0.001
1072,0.999
1073,0.001
1074,0.9973
1075,0.999
1076,0.001
1077,0.9916
1078,0.0177
1079,0.999
1080,0.999
1081,0.999
1082,0.999
1083,0.999
1084,0.0035
1085,0.1514
1086,0.999
1087,0.9467
1088,0.001
1089,0.999
1090,0.001
1091,0.999
1092,0.5643
1093,0.9107
1094,0.999
1095,0.555
1096,0.9063
1097,0.001
1098,0.001
1099,0.001
1100,0.999
1101,0.2132
1102,0.001
1103,0.001
1104,0.0032
1105,0.999
1106,0.935
1107,0.0018
1108,0.9989
1109,0.0091
1110,0.147
1111,0.001
1112,0.001
1113,0.001
1114,0.999
1115,0.999
1116,0.999
1117,0.001
1118,0.001
1119,0.001
1120,0.001
1121,0.4766
1122,0.999
1123,0.001
1124,0.001
1125,0.001
1126,0.001
1127,0.001
1128,0.001
1129,0.999
1130,0.4121
1131,0.999
1132,0.2958
1133,0.0086
1134,0.001
1135,0.001
1136,0.999
1137,0.0119
1138,0.001
1139,0.0221
1140,0.001
1141,0.001
1142,0.001
1143,0.0713
1144,0.9659
1145,0.999
1146,0.9987
1147,0.999
1148,0.001
1149,0.999
1150,0.001
1151,0.999
1152,0.001
1153,0.001
1154,0.999
1155,0.999
1156,0.001
1157,0.999
1158,0.999
1159,0.001
1160,0.001
1161,0.001
1162,0.0809
1163,0.001
1164,0.001
1165,0.5676
1166,0.999
1167,0.5945
1168,0.001
1169,0.7787
1170,0.9964
1171,0.7928
1172,0.999
1173,0.9667
1174,0.999
1175,0.999
1176,0.001
1177,0.001
1178,0.001
1179,0.999
1180,0.999
1181,0.0294
1182,0.999
1183,0.8926
1184,0.999
1185,0.001
1186,0.999
1187,0.001
1188,0.9952
1189,0.0066
1190,0.1425
1191,0.999
1192,0.0545
1193,0.001
1194,0.001
1195,0.999
1196,0.3022
1197,0.999
1198,0.001
1199,0.0196
1200,0.7702
1201,0.999
1202,0.2201
1203,0.999
1204,0.3366
1205,0.999
1206,0.001
1207,0.999
1208,0.001
1209,0.001
1210,0.999
1211,0.999
1212,0.0022
1213,0.001
1214,0.8744
1215,0.999
1216,0.999
1217,0.999
1218,0.0012
1219,0.9245
1220,0.001
1221,0.0148
1222,0.1237
1223,0.999
1224,0.999
1225,0.001
1226,0.001
1227,0.999
1228,0.001
1229,0.8698
1230,0.001
1231,0.833
1232,0.999
1233,0.001
1234,0.001
1235,0.999
1236,0.999
1237,0.9386
1238,0.999
1239,0.001
1240,0.001
1241,0.999
1242,0.999
1243,0.1192
1244,0.001
1245,0.999
1246,0.001
1247,0.0028
1248,0.999
1249,0.1011
1250,0.999
1251,0.001
1252,0.0684
1253,0.999
1254,0.001
1255,0.001
1256,0.001
1257,0.999
1258,0.001
1259,0.001
1260,0.001
1261,0.9335
1262,0.001
1263,0.7703
1264,0.001
1265,0.001
1266,0.001
1267,0.6246
1268,0.001
1269,0.999
1270,0.001
1271,0.999
1272,0.999
1273,0.999
1274,0.706
1275,0.999
1276,0.999
1277,0.0017
1278,0.0309
1279,0.9422
1280,0.999
1281,0.001
1282,0.001
1283,0.999
1284,0.9989
1285,0.001
1286,0.999
1287,0.5158
1288,0.001
1289,0.8689
1290,0.999
1291,0.001
1292,0.001
1293,0.001
1294,0.999
1295,0.001
1296,0.001
1297,0.001
1298,0.001
1299,0.005
1300,0.0073
1301,0.9976
1302,0.6984
1303,0.001
1304,0.9957
1305,0.999
1306,0.999
1307,0.001
1308,0.999
1309,0.001
1310,0.001
1311,0.0079
1312,0.999
1313,0.001
1314,0.999
1315,0.982
1316,0.001
1317,0.999
1318,0.999
1319,0.9581
1320,0.2315
1321,0.001
1322,0.1776
1323,0.0214
1324,0.001
1325,0.0657
1326,0.001
1327,0.999
1328,0.8503
1329,0.3286
1330,0.001
1331,0.001
1332,0.999
1333,0.999
1334,0.6748
1335,0.001
1336,0.001
1337,0.001
1338,0.001
1339,0.001
1340,0.999
1341,0.001
1342,0.999
1343,0.999
1344,0.0046
1345,0.001
1346,0.0215
1347,0.001
1348,0.001
1349,0.001
1350,0.996
1351,0.9944
1352,0.001
1353,0.999
1354,0.0703
1355,0.001
1356,0.999
1357,0.0213
1358,0.6628
1359,0.001
1360,0.999
1361,0.0641
1362,0.0133
1363,0.6862
