id,label
1,0.6813
2,0.6298
3,0.6856
4,0.6451
5,0.4929
6,0.4588
7,0.4173
8,0.4972
9,0.5601
10,0.4163
11,0.4624
12,0.5466
13,0.4587
14,0.5341
15,0.362
16,0.4821
17,0.7432
18,0.4843
19,0.4387
20,0.5084
21,0.7367
22,0.4547
23,0.5469
24,0.4927
25,0.4696
26,0.6639
27,0.6345
28,0.3888
29,0.638
30,0.5775
31,0.5517
32,0.6243
33,0.5176
34,0.4703
35,0.5171
36,0.5171
37,0.5175
38,0.5309
39,0.5587
40,0.4345
41,0.5164
42,0.5158
43,0.7282
44,0.5825
45,0.4038
46,0.5805
47,0.5251
48,0.6012
49,0.6249
50,0.5234
51,0.2818
52,0.4863
53,0.5264
54,0.3493
55,0.6282
56,0.3625
57,0.7222
58,0.53
59,0.504
60,0.5
61,0.5405
62,0.4936
63,0.4087
64,0.5709
65,0.7383
66,0.5378
67,0.6395
68,0.3277
69,0.6055
70,0.6995
71,0.6972
72,0.6147
73,0.5628
74,0.5311
75,0.4633
76,0.4946
77,0.591
78,0.5671
79,0.5814
80,0.4811
81,0.5922
82,0.5023
83,0.6369
84,0.6408
85,0.6559
86,0.5212
87,0.6173
88,0.5217
89,0.5389
90,0.4777
91,0.4339
92,0.3918
93,0.4236
94,0.6319
95,0.6669
96,0.5204
97,0.4742
98,0.5963
99,0.3437
100,0.5936
101,0.4596
102,0.5457
103,0.5377
104,0.3638
105,0.6712
106,0.6413
107,0.4333
108,0.4176
109,0.6913
110,0.6424
111,0.6565
112,0.5837
113,0.4986
114,0.4659
115,0.5205
116,0.3331
117,0.3955
118,0.5181
119,0.7615
120,0.3734
121,0.4845
122,0.3476
123,0.4493
124,0.4802
125,0.5101
126,0.4763
127,0.6451
128,0.4031
129,0.4976
130,0.4708
131,0.4878
132,0.6528
133,0.5472
134,0.405
135,0.396
136,0.485
137,0.5982
138,0.397
139,0.4236
140,0.457
141,0.5307
142,0.5502
143,0.6662
144,0.4972
145,0.4458
146,0.5971
147,0.5663
148,0.5744
149,0.366
150,0.5344
151,0.5351
152,0.4803
153,0.6142
154,0.4915
155,0.5793
156,0.3418
157,0.3253
158,0.5983
159,0.5796
160,0.486
161,0.3851
162,0.5367
163,0.3983
164,0.4258
165,0.3781
166,0.4992
167,0.5417
168,0.6451
169,0.505
170,0.4495
171,0.4874
172,0.5702
173,0.494
174,0.5441
175,0.5534
176,0.4318
177,0.7211
178,0.6588
179,0.3417
180,0.475
181,0.506
182,0.4782
183,0.5239
184,0.5493
185,0.6697
186,0.4344
187,0.4896
188,0.3762
189,0.4805
190,0.5288
191,0.4338
192,0.4766
193,0.5461
194,0.5017
195,0.6504
196,0.6609
197,0.5182
198,0.4805
199,0.535
200,0.5234
201,0.7504
202,0.4959
203,0.6886
204,0.5518
205,0.383
206,0.4089
207,0.3708
208,0.4486
209,0.4013
210,0.3511
211,0.6506
212,0.5662
213,0.564
214,0.4381
215,0.5865
216,0.4646
217,0.5433
218,0.5153
219,0.5221
220,0.5302
221,0.4587
222,0.6905
223,0.6052
224,0.3723
225,0.5799
226,0.6164
227,0.5453
228,0.4247
229,0.8028
230,0.5629
231,0.5638
232,0.525
233,0.6392
234,0.5346
235,0.5936
236,0.5463
237,0.5049
238,0.6667
239,0.4967
240,0.577
241,0.5657
242,0.5124
243,0.5402
244,0.5083
245,0.6379
246,0.5126
247,0.7222
248,0.4288
249,0.4741
250,0.5477
251,0.8031
252,0.542
253,0.5145
254,0.4657
255,0.5048
256,0.5902
257,0.464
258,0.6713
259,0.4369
260,0.4961
261,0.5219
262,0.5005
263,0.3773
264,0.3901
265,0.6323
266,0.3657
267,0.4312
268,0.2858
269,0.5261
270,0.6171
271,0.5931
272,0.5274
273,0.6463
274,0.5012
275,0.5353
276,0.57
277,0.6342
278,0.4663
279,0.5095
280,0.5522
281,0.3823
282,0.59
283,0.3773
284,0.5992
285,0.3434
286,0.6427
287,0.3754
288,0.5092
289,0.7396
290,0.489
291,0.5363
292,0.509
293,0.6877
294,0.4194
295,0.5142
296,0.7079
297,0.5978
298,0.5646
299,0.6094
300,0.4855
301,0.491
302,0.4749
303,0.2551
304,0.4709
305,0.4417
306,0.5859
307,0.6125
308,0.534
309,0.4893
310,0.5194
311,0.5375
312,0.5365
313,0.5337
314,0.4344
315,0.5425
316,0.432
317,0.6312
318,0.3805
319,0.4637
320,0.3825
321,0.5138
322,0.6279
323,0.4967
324,0.3644
325,0.5261
326,0.4818
327,0.6102
328,0.8217
329,0.3602
330,0.6125
331,0.5251
332,0.5001
333,0.5265
334,0.4139
335,0.3852
336,0.4917
337,0.5854
338,0.532
339,0.5753
340,0.4408
341,0.5049
342,0.4952
343,0.4612
344,0.5818
345,0.5258
346,0.4349
347,0.3529
348,0.5807
349,0.5428
350,0.6402
351,0.361
352,0.3877
353,0.6021
354,0.4959
355,0.7258
356,0.6714
357,0.3788
358,0.4695
359,0.5385
360,0.5178
361,0.619
362,0.4785
363,0.5705
364,0.4333
365,0.7064
366,0.7014
367,0.6323
368,0.7657
369,0.5852
370,0.7084
371,0.486
372,0.4887
373,0.5572
374,0.541
375,0.5148
376,0.4065
377,0.7591
378,0.3858
379,0.5805
380,0.6546
381,0.6619
382,0.37
383,0.7856
384,0.6796
385,0.5098
386,0.4322
387,0.4794
388,0.4522
389,0.5994
390,0.5573
391,0.5465
392,0.5507
393,0.4997
394,0.5023
395,0.5642
396,0.4789
397,0.6353
398,0.5409
399,0.5926
400,0.6278
401,0.5672
402,0.5164
403,0.5287
404,0.4467
405,0.5356
406,0.5414
407,0.5294
408,0.4662
409,0.5097
410,0.4736
411,0.6745
412,0.4984
413,0.7272
414,0.4343
415,0.5237
416,0.3072
417,0.5464
418,0.5675
419,0.5359
420,0.6883
421,0.5569
422,0.6872
423,0.569
424,0.4931
425,0.4612
426,0.492
427,0.4698
428,0.5253
429,0.6643
430,0.5981
431,0.5437
432,0.507
433,0.5229
434,0.539
435,0.6584
436,0.587
437,0.5362
438,0.4417
439,0.4864
440,0.4857
441,0.5275
442,0.4897
443,0.5504
444,0.4332
445,0.4559
446,0.5532
447,0.4951
448,0.5044
449,0.3656
450,0.629
451,0.5184
452,0.5618
453,0.6736
454,0.4315
455,0.5447
456,0.5123
457,0.461
458,0.4294
459,0.5443
460,0.5921
461,0.4677
462,0.615
463,0.7119
464,0.4139
465,0.3672
466,0.5929
467,0.5476
468,0.6135
469,0.6986
470,0.5564
471,0.5223
472,0.6592
473,0.4931
474,0.5551
475,0.6856
476,0.5554
477,0.557
478,0.4423
479,0.6172
480,0.4909
481,0.6532
482,0.4909
483,0.4379
484,0.4076
485,0.6306
486,0.7266
487,0.5281
488,0.5263
489,0.4858
490,0.6055
491,0.4305
492,0.4859
493,0.4802
494,0.4898
495,0.5755
496,0.6256
497,0.5649
498,0.5288
499,0.6544
500,0.5441
501,0.5918
502,0.514
503,0.4627
504,0.5328
505,0.504
506,0.4599
507,0.5226
508,0.53
509,0.566
510,0.5773
511,0.5001
512,0.4682
513,0.5787
514,0.3497
515,0.3809
516,0.6059
517,0.6159
518,0.4934
519,0.4153
520,0.5304
521,0.4808
522,0.4618
523,0.8737
524,0.5976
525,0.5167
526,0.3043
527,0.5244
528,0.5353
529,0.3727
530,0.4251
531,0.4141
532,0.4931
533,0.398
534,0.5245
535,0.4674
536,0.604
537,0.4414
538,0.416
539,0.4518
540,0.689
541,0.4044
542,0.6815
543,0.5278
544,0.44
545,0.6633
546,0.5785
547,0.671
548,0.5864
549,0.446
550,0.5568
551,0.5132
552,0.7389
553,0.5719
554,0.4511
555,0.4642
556,0.6363
557,0.6123
558,0.5619
559,0.6389
560,0.6164
561,0.5135
562,0.4765
563,0.613
564,0.3804
565,0.6628
566,0.452
567,0.408
568,0.5756
569,0.5679
570,0.4818
571,0.6628
572,0.3989
573,0.602
574,0.6495
575,0.4922
576,0.5368
577,0.5453
578,0.432
579,0.3268
580,0.4138
581,0.6437
582,0.4912
583,0.4391
584,0.4414
585,0.3506
586,0.6029
587,0.3885
588,0.5313
589,0.5294
590,0.4658
591,0.6584
592,0.4985
593,0.5721
594,0.619
595,0.6804
596,0.4793
597,0.5811
598,0.533
599,0.3908
600,0.4153
601,0.548
